ADDRESS,COMM_CODE,NAME,TYPE,longitude,latitude,point,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
2727 26 AV SE,DOV,EMS Station 23,EMS Station,-113.99379172498433,51.030132020214594,POINT (-113.993791724984 51.0301320191176),10,3,196,11
1010 10 AV SW,BLN,EMS Station 2,EMS Station,-114.08427916079312,51.04424996440539,POINT (-114.084279160792 51.04424996330841),14,1,260,2
4824 4 ST NW,HPK,EMS Station 5,EMS Station,-114.07097942643117,51.09549608036502,POINT (-114.07097942643 51.095496079268),2,2,259,4
209 SILVERGROVE DR NW,SIL,EMS Station 21,EMS Station,-114.20300874774289,51.11508683218449,POINT (-114.20300874774 51.1150868310874),13,2,147,9
2515 78 AV SE,OGD,EMS Station 9,EMS Station,-114.00118826797711,50.98288051705767,POINT (-114.001188267977 50.9828805159608),10,3,28,11
2607 106 AV SW,CED,EMS Station 24,EMS Station,-114.12140043638227,50.957446299444314,POINT (-114.121400436381 50.9574462983475),8,1,126,5
415 68 AV NW,HUN,EMS Station 18,EMS Station,-114.06779715385899,51.11546419577109,POINT (-114.067797153858 51.115464194674),2,2,261,4
5536 4 ST SW,WND,EMS Station 11,EMS Station,-114.0711918319378,51.00418979202084,POINT (-114.071191831937 51.0041897909239),8,1,144,5
1720 45 ST SW,RCK,EMS Station 8,EMS Station,-114.15211998827321,51.038669763223325,POINT (-114.152119988271 51.0386697621264),14,1,281,2
16 MONCTON RD NE,WIN,EMS Station 4,EMS Station,-114.04194940288112,51.068806824258225,POINT (-114.041949402881 51.0688068231612),10,4,88,7
7055 ELKTON DR SW,SPH,EMS Station 33,EMS Station,-114.18891037880005,51.02363864720235,POINT (-114.188910378797 51.0236386461054),1,1,289,14
450 1 ST SE,DNC,EMS Station 1,EMS Station,-114.05973218177931,51.048602806910374,POINT (-114.059732181778 51.0486028058134),7,3,262,7
2800 PEACEKEEPERS WY SW,LPK,EMS Station 20,EMS Station,-114.1287234400988,51.006082487171795,POINT (-114.128723440097 51.0060824860749),8,1,42,2
11955 COUNTRY VILLAGE LI NE,CHV,EMS Station 31,EMS Station,-114.06869968303738,51.15985623762504,POINT (-114.068699683036 51.1598562365279),11,4,264,12
15100 MACLEOD TR SE,PKL,EMS Station Southgate 41,EMS Station,-114.03879999124374,50.92939809114581,POINT (-114.068936751398 50.9176786869324),6,3,263,13
3740 32 AV NW,VAR,EMS Station 17,EMS Station,-114.14012176746265,51.081923535366855,POINT (-114.140121767461 51.0819235342698),13,2,269,9
6 MCKENZIE TOWNE GA SE,MCT,EMS Station 30,EMS Station,-113.96306397834877,50.91644071200359,POINT (-113.963063978349 50.916440710906805),4,3,46,8
7925 EDGEMONT BV NW,EDG,EMS Station 28,EMS Station,-114.15052813731707,51.12628419712483,POINT (-114.150528137315 51.1262841960277),2,2,272,4
16 ROYAL VISTA WAY NW,ROY,EMS Station 34,EMS Station,-114.2190165427563,51.14734225530693,POINT (-114.205439981782 51.1531990250586),3,2,157,9
3705 35 ST NE,HOR,EMS Headquarters,EMS Station,-113.98236302197331,51.0857061933349,POINT (-113.982363021974 51.0857061922379),9,4,71,3
800 SADDLETOWNE CI NE,SAD,EMS Station 32,EMS Station,-113.94450514719844,51.12430216315795,POINT (-113.944505147199 51.1243021620609),11,4,2,1
7199 TEMPLE DR NE,TEM,EMS Station 22,EMS Station,-113.95749545798179,51.091769794840395,POINT (-113.957495457982 51.0917697937434),9,4,22,3
1940 WESTMOUNT BV NW,WHL,EMS Station 6,EMS Station,-114.10503540174115,51.04959531519408,POINT (-114.10503540174 51.0495953140971),7,2,280,7
1807 MACLEOD TR SE,BLN,EMS Station 3,EMS Station,-114.05899090457028,51.036665251874574,POINT (-114.058990904569 51.0366652507776),14,3,260,5
7027 Coach Hill RD SW,COA,EMS Station 29,EMS Station,-114.18768157088468,51.06173018206097,POINT (-114.187630514022 51.0617052885959),1,1,189,14
9840 HORTON RD SW,HAY,EMS Station 14,EMS Station,-114.07425758815113,50.96600069859297,POINT (-114.07425758815 50.9660006974961),8,1,195,5
5010 BOWNESS RD NW,MON,EMS Station 15,EMS Station,-114.16517527334821,51.07575103667436,POINT (-114.165175273346 51.0757510355773),13,2,24,7
123 44 ST SE,FHT,EMS Station 12,EMS Station,-113.97054229723722,51.051840105597734,POINT (-113.970542297238 51.0518401045007),12,3,194,11
